account_id,plan_tier,tenure_months,region,referral_source
CUST-0001,Free,53,EU,Partner
CUST-0002,Business,4,APAC,Organic
CUST-0003,Pro,49,LATAM,Referral
CUST-0004,Pro,18,EU,Referral
CUST-0005,Pro,44,NA,Organic
CUST-0006,Free,28,NA,Organic
CUST-0007,Pro,46,APAC,Organic
CUST-0008,Pro,6,EU,Partner
CUST-0009,Business,43,NA,Partner
CUST-0010,Pro,54,LATAM,Organic
CUST-0011,Business,21,EU,Partner
CUST-0012,Free,19,NA,Organic
CUST-0013,Business,48,APAC,Paid Ads
CUST-0014,Business,50,NA,Referral
CUST-0015,Pro,41,APAC,Paid Ads
CUST-0016,Business,20,EU,Partner
CUST-0017,Free,40,EU,
CUST-0018,Free,5,LATAM,Partner
CUST-0019,Business,1,LATAM,Paid Ads
CUST-0020,Pro,48,NA,Organic
CUST-0021,Free,26,EU,Partner
CUST-0022,Pro,57,LATAM,Partner
CUST-0023,Pro,38,NA,Partner
CUST-0024,Pro,12,NA,Referral
CUST-0025,Free,40,NA,Partner
CUST-0026,Free,60,NA,Paid Ads
CUST-0027,Free,4,APAC,Referral
CUST-0028,Pro,41,NA,Partner
CUST-0029,Free,59,LATAM,
CUST-0030,Pro,7,EU,Partner
CUST-0031,Business,4,NA,Partner
CUST-0032,Free,52,APAC,Organic
CUST-0033,Free,39,APAC,Referral
CUST-0034,Pro,47,EU,Partner
CUST-0035,Pro,37,APAC,Paid Ads
CUST-0036,Pro,53,EU,Organic
CUST-0037,Free,8,APAC,Organic
CUST-0038,Free,54,EU,Referral
CUST-0039,Pro,51,APAC,Organic
CUST-0040,Free,25,LATAM,Organic
CUST-0041,Free,12,APAC,Organic
CUST-0042,Pro,7,LATAM,Organic
CUST-0043,Free,49,NA,Organic
CUST-0044,Business,37,APAC,Partner
CUST-0045,Free,26,APAC,Organic
CUST-0046,Free,7,APAC,Paid Ads
CUST-0047,Pro,28,NA,Referral
CUST-0048,Free,48,EU,Paid Ads
CUST-0049,Business,24,NA,Partner
CUST-0050,Free,57,NA,Partner
CUST-0051,Free,55,EU,Partner
CUST-0052,Pro,17,LATAM,Organic
CUST-0053,Business,19,NA,Organic
CUST-0054,Free,19,APAC,Organic
CUST-0055,Pro,10,APAC,Organic
CUST-0056,Business,1,APAC,Partner
CUST-0057,Business,49,LATAM,Paid Ads
CUST-0058,Business,21,NA,Organic
CUST-0059,Free,4,NA,Organic
CUST-0060,Free,9,EU,Partner
CUST-0061,Business,59,LATAM,Referral
CUST-0062,Pro,60,NA,Partner
CUST-0063,Free,13,LATAM,Referral
CUST-0064,Business,27,EU,Paid Ads
CUST-0065,Pro,39,APAC,Paid Ads
CUST-0066,Pro,32,NA,Paid Ads
CUST-0067,Free,57,NA,Partner
CUST-0068,Pro,35,EU,Referral
CUST-0069,Pro,15,APAC,Partner
CUST-0070,Business,3,APAC,Referral
