account_id,churned
CUST-0001,No
CUST-0002,No
CUST-0003,No
CUST-0004,No
CUST-0005,No
CUST-0006,No
CUST-0007,No
CUST-0008,No
CUST-0009,No
CUST-0010,No
CUST-0011,Yes
CUST-0012,Yes
CUST-0013,Yes
CUST-0014,No
CUST-0015,Yes
CUST-0016,Yes
CUST-0017,Yes
CUST-0018,No
CUST-0019,No
CUST-0020,No
CUST-0021,No
CUST-0022,No
CUST-0023,Yes
CUST-0024,No
CUST-0025,No
CUST-0026,Yes
CUST-0027,No
CUST-0028,No
CUST-0030,No
CUST-0031,No
CUST-0032,Yes
CUST-0033,No
CUST-0034,No
CUST-0035,No
CUST-0036,No
CUST-0037,Yes
CUST-0038,No
CUST-0039,No
CUST-0043,No
CUST-0044,Yes
CUST-0045,No
CUST-0046,No
CUST-0047,No
CUST-0048,Yes
CUST-0049,No
CUST-0050,No
CUST-0051,Yes
CUST-0052,No
CUST-0053,Yes
CUST-0054,Yes
CUST-0055,No
CUST-0056,No
CUST-0057,No
CUST-0058,No
CUST-0060,No
CUST-0061,No
CUST-0062,Yes
CUST-0063,No
CUST-0064,No
CUST-0065,Yes
CUST-0066,No
CUST-0067,No
CUST-0068,Yes
CUST-0069,No
CUST-0070,No
CUST-0071,No
CUST-0072,No
CUST-0073,No
CUST-0074,No
CUST-0075,No
CUST-0077,No
CUST-0078,No
CUST-0079,Yes
CUST-0080,No
CUST-0081,No
CUST-0084,Yes
CUST-0085,Yes
CUST-0086,No
CUST-0087,Yes
CUST-0088,No
CUST-0089,No
CUST-0090,Yes
CUST-0091,No
CUST-0092,No
CUST-0093,No
CUST-0094,No
CUST-0095,Yes
CUST-0097,Yes
CUST-0098,Yes
CUST-0099,Yes
CUST-0100,No
CUST-0101,No
CUST-0102,No
CUST-0104,No
CUST-0105,No
CUST-0106,No
CUST-0107,Yes
CUST-0109,No
CUST-0110,No
CUST-0111,No
CUST-0112,No
CUST-0113,No
CUST-0114,No
CUST-0115,No
CUST-0116,Yes
CUST-0117,No
CUST-0120,No
CUST-0121,No
CUST-0122,No
CUST-0123,No
CUST-0124,No
CUST-0125,Yes
CUST-0126,No
CUST-0127,No
CUST-0128,No
CUST-0129,Yes
CUST-0130,Yes
CUST-0131,No
CUST-0133,No
CUST-0135,No
CUST-0136,Yes
CUST-0137,No
CUST-0138,No
CUST-0139,Yes
CUST-0140,No
CUST-0142,No
CUST-0144,No
CUST-0145,No
CUST-0146,No
CUST-0147,Yes
CUST-0148,No
CUST-0149,Yes
CUST-0150,No
CUST-0151,No
CUST-0152,No
CUST-0153,No
CUST-0154,No
CUST-0155,No
CUST-0156,No
CUST-0159,Yes
CUST-0160,No
CUST-0161,No
CUST-0162,No
CUST-0163,No
CUST-0165,No
CUST-0167,No
CUST-0168,No
CUST-0169,No
CUST-0170,No
CUST-0171,No
CUST-0173,No
CUST-0175,No
CUST-0176,No
CUST-0177,No
CUST-0179,No
CUST-0180,No
CUST-0181,No
CUST-0182,No
CUST-0183,Yes
CUST-0184,No
CUST-0185,Yes
CUST-0186,Yes
CUST-0187,No
CUST-0188,No
CUST-0189,No
CUST-0190,No
CUST-0191,No
CUST-0192,No
CUST-0193,No
CUST-0194,Yes
CUST-0195,No
CUST-0196,No
CUST-0197,Yes
CUST-0198,No
CUST-0199,No
CUST-0200,Yes
CUST-0201,Yes
