record_id,account_id,ticket_date,issue_category,resolution_time_hours
SUP-000751,CUST-0259,2023-06-27,Bug,19.589289748817286
SUP-000368,CUST-0130,2023-09-11,Billing,20.080209504706882
SUP-000775,CUST-0264,2023-09-07,Onboarding,14.736057891593143
SUP-000829,CUST-0278,2024-01-08,Onboarding,24.03939885729675
SUP-001041,CUST-0353,2023-10-26,Feature Request,3.1181931008261703
SUP-000385,CUST-0138,2023-12-09,Bug,20.1067880237058
SUP-001127,CUST-0377,2023-10-02,Billing,0.9615484789291022
SUP-000169,CUST-0058,2023-06-18,Bug,0.5
SUP-000893,CUST-0296,2023-10-07,Billing,8.524983719105373
SUP-000047,CUST-0015,2024-05-06,Bug,20.643532301793584
SUP-000529,CUST-0182,2024-05-23,Onboarding,25.56680450871587
SUP-000970,CUST-0326,2024-04-07,Billing,17.77778140397499
SUP-001135,CUST-0383,2024-05-05,Billing,8.252776020811854
SUP-000193,CUST-0067,2024-05-12,Onboarding,0.5
SUP-000683,CUST-0231,2023-06-01,Feature Request,0.5
SUP-000439,CUST-0156,2024-04-27,Onboarding,13.64223657168874
SUP-000394,CUST-0141,2024-05-01,Onboarding,26.75901002351901
SUP-001029,CUST-0350,2023-09-10,Feature Request,25.223776141737893
SUP-001045,CUST-0354,2024-02-11,Billing,20.524581294119432
SUP-000912,CUST-0302,2024-03-01,Onboarding,11.354435529526345
SUP-000596,CUST-0201,2024-03-13,Billing,3.8374661087477824
SUP-000467,CUST-0162,2023-06-18,Billing,0.5
SUP-000639,CUST-0215,2023-07-22,Bug,
SUP-000329,CUST-0115,2024-05-28,Billing,9.56858127782602
SUP-000720,CUST-0245,2023-06-14,Billing,6.112433877813662
SUP-000333,CUST-0117,2023-09-30,Bug,10.03865101196313
SUP-001034,CUST-0351,2023-09-01,Feature Request,2.7317917369193125
SUP-000326,CUST-0115,2024-06-09,Billing,0.5
SUP-000491,CUST-0172,2024-03-29,Feature Request,3.6946935287081875
SUP-000298,CUST-0103,2023-10-12,Bug,25.680714152218254
SUP-000166,CUST-0058,2024-02-04,Billing,0.5
SUP-000126,CUST-0041,2023-07-24,Bug,0.5
SUP-000549,CUST-0188,2023-07-14,Billing,26.422278269710585
SUP-001037,CUST-0352,2024-04-06,Onboarding,5.858782783586189
SUP-000897,CUST-0297,2023-06-03,Feature Request,
SUP-000120,CUST-0039,2024-04-08,Billing,8.210358535765048
SUP-000194,CUST-0067,2024-04-23,Bug,1.9265505570493846
SUP-000854,CUST-0284,2023-08-04,Bug,9.2759988929795
SUP-000019,CUST-0006,2024-05-26,Onboarding,3.0404153469605344
SUP-000171,CUST-0059,2023-10-03,Feature Request,14.946269657634375
SUP-000211,CUST-0073,2024-05-23,Onboarding,9.678044003697057
SUP-001000,CUST-0335,2023-07-20,Feature Request,12.202379677881318
SUP-001084,CUST-0366,2024-06-11,Onboarding,9.061670883707665
SUP-000530,CUST-0183,2024-03-05,Feature Request,17.5962783358987
SUP-000676,CUST-0228,2024-06-28,Onboarding,11.66257909456156
SUP-000029,CUST-0010,2023-09-30,Onboarding,1.6776136221972031
SUP-000279,CUST-0098,2024-04-23,Onboarding,0.5
SUP-000468,CUST-0163,2023-12-27,Feature Request,29.533976575891824
SUP-000387,CUST-0139,2024-06-10,Feature Request,7.805220798894384
SUP-000488,CUST-0171,2023-07-20,Onboarding,17.94423142031888
SUP-000192,CUST-0067,2024-05-27,Feature Request,0.5
SUP-000673,CUST-0227,2024-05-03,Bug,23.795304281464134
SUP-001050,CUST-0356,2023-10-31,Bug,7.3715631711182406
SUP-000508,CUST-0177,2024-02-13,Bug,0.5
SUP-000321,CUST-0111,2024-05-20,Bug,27.207993921382275
SUP-000631,CUST-0212,2024-04-14,Billing,33.92731064054097
SUP-000656,CUST-0220,2023-11-28,Feature Request,16.376308002665777
SUP-000618,CUST-0207,2023-06-27,Feature Request,11.827226451228656
SUP-000357,CUST-0128,2023-09-27,Onboarding,0.5
SUP-000603,CUST-0204,2023-09-28,Bug,23.191283390768362
SUP-000949,CUST-0319,2024-03-24,Billing,8.253792226926638
SUP-001092,CUST-0367,2023-08-20,Billing,
SUP-000244,CUST-0086,2024-02-28,Bug,15.870917692055405
SUP-000857,CUST-0284,2023-10-16,Onboarding,14.177003738127755
SUP-000968,CUST-0325,2024-05-16,Onboarding,18.035579904358315
SUP-000697,CUST-0236,2024-02-08,Feature Request,7.231914688506688
SUP-000133,CUST-0044,2024-04-15,Bug,27.07222778686632
SUP-000852,CUST-0283,2024-03-22,Bug,3.45970724043604
SUP-000378,CUST-0133,2024-02-02,Bug,13.722443738120306
SUP-000383,CUST-0137,2024-03-25,Billing,2.4722020757053453
SUP-000350,CUST-0124,2023-12-31,Feature Request,13.288751585060673
SUP-000056,CUST-0017,2023-08-05,Billing,25.464500263126098
SUP-000504,CUST-0176,2024-06-10,Billing,14.687859703199496
SUP-000179,CUST-0063,2024-06-09,Onboarding,26.756260357203935
SUP-000645,CUST-0217,2024-04-02,Billing,16.372899397746586
SUP-000506,CUST-0176,2024-05-18,Billing,0.5
SUP-000310,CUST-0106,2023-12-08,Bug,0.5
SUP-000999,CUST-0335,2024-05-09,Feature Request,18.771751058632653
SUP-000261,CUST-0093,2023-10-18,Billing,10.634225431706813
SUP-000610,CUST-0205,2024-04-03,Billing,0.5
SUP-001112,CUST-0372,2023-06-21,Billing,0.5
SUP-000622,CUST-0208,2023-07-17,Onboarding,30.408754500707012
SUP-000375,CUST-0132,2024-06-13,Feature Request,3.2520293360159807
SUP-001133,CUST-0381,2023-12-29,Billing,19.837900167295725
SUP-000027,CUST-0009,2023-11-26,Bug,22.954642820776805
SUP-000902,CUST-0299,2023-09-06,Onboarding,34.30043336797415
SUP-000316,CUST-0109,2024-06-25,Feature Request,0.5
SUP-001012,CUST-0345,2024-05-17,Feature Request,11.045601144759221
SUP-000482,CUST-0166,2023-11-25,Bug,12.859124216889994
SUP-000583,CUST-0196,2024-02-15,Bug,11.836759692538147
SUP-000023,CUST-0008,2023-06-09,Bug,3.042124248926833
SUP-000456,CUST-0160,2023-10-10,Bug,3.2887705122859967
SUP-000303,CUST-0105,2023-07-03,Feature Request,0.5
SUP-000888,CUST-0295,2023-12-03,Bug,17.289109760044663
SUP-000225,CUST-0077,2023-11-27,Feature Request,19.757100292646484
SUP-000365,CUST-0129,2024-03-19,Feature Request,28.63415524256221
SUP-001008,CUST-0342,2024-01-05,Billing,13.653582079966382
SUP-000757,CUST-0260,2024-02-02,Billing,0.5
SUP-000711,CUST-0241,2023-06-18,Feature Request,11.332387048725415
SUP-001099,CUST-0369,2024-04-20,Onboarding,0.5
SUP-000586,CUST-0197,2023-08-08,Onboarding,7.531217527742276
SUP-000606,CUST-0205,2023-11-02,Bug,8.077480593231444
SUP-001046,CUST-0354,2023-08-29,Feature Request,9.641763906457548
SUP-001039,CUST-0353,2023-07-03,Billing,15.23532090926069
SUP-000661,CUST-0221,2023-09-11,Billing,11.928783789563361
SUP-000322,CUST-0111,2024-01-02,Feature Request,25.63806935529681
SUP-000994,CUST-0332,2023-11-29,Onboarding,0.5
SUP-000189,CUST-0067,2023-09-25,Bug,7.783078922108471
SUP-000865,CUST-0287,2023-11-02,Billing,11.189199723563984
SUP-000617,CUST-0207,2023-07-22,Bug,2.886767241361399
SUP-000099,CUST-0031,2023-08-02,Onboarding,25.916902547001833
SUP-000863,CUST-0286,2024-03-01,Feature Request,20.35599467151573
SUP-000464,CUST-0161,2023-09-16,Bug,18.23687410311141
SUP-000872,CUST-0288,2024-03-03,Billing,5.1480408833071305
SUP-000521,CUST-0181,2024-04-26,Feature Request,19.85301172098024
SUP-000877,CUST-0289,2023-12-12,Bug,17.531172516874328
SUP-000626,CUST-0209,2023-11-03,Onboarding,21.84393098771229
SUP-000382,CUST-0137,2023-10-19,Billing,0.5
SUP-000703,CUST-0238,2024-06-04,Billing,8.33182343888407
SUP-000910,CUST-0302,2024-04-10,Billing,18.845444647006723
SUP-000905,CUST-0300,2023-10-04,Bug,25.128424902378203
SUP-001138,CUST-0383,2023-09-14,Billing,0.5
SUP-000163,CUST-0057,2024-05-05,Onboarding,11.049588033708776
SUP-000239,CUST-0083,2024-06-20,Billing,14.465325061135545
SUP-000933,CUST-0314,2023-11-22,Feature Request,5.316468480937875
SUP-000951,CUST-0320,2024-06-20,Billing,16.683675781927093
SUP-000198,CUST-0068,2023-10-20,Bug,6.6435654311772705
SUP-001042,CUST-0353,2023-12-28,Bug,7.956919666876768
SUP-000037,CUST-0013,2024-03-01,Feature Request,0.5
SUP-000079,CUST-0025,2023-08-04,Feature Request,
SUP-000186,CUST-0065,2024-01-24,Feature Request,18.331769509473922
SUP-000681,CUST-0230,2023-10-17,Onboarding,22.971732289031774
SUP-000572,CUST-0193,2023-09-25,Feature Request,9.370649057452058
SUP-000111,CUST-0036,2023-06-20,Onboarding,19.036507001222002
SUP-000630,CUST-0211,2024-01-05,Onboarding,14.40131475684024
SUP-001105,CUST-0370,2023-06-09,Onboarding,9.184933957517174
SUP-000397,CUST-0141,2023-10-25,Bug,28.3346884271221
SUP-001061,CUST-0359,2023-08-16,Feature Request,27.684161513716848
SUP-000312,CUST-0108,2023-10-23,Onboarding,14.118430525121553
SUP-000729,CUST-0247,2023-10-05,Feature Request,9.582076206343618
SUP-000967,CUST-0325,2023-08-28,Onboarding,6.417775444725859
SUP-000811,CUST-0273,2023-07-21,Onboarding,11.831523820111716
SUP-001087,CUST-0366,2023-10-13,Bug,6.376915480007271
SUP-000590,CUST-0197,2023-06-06,Feature Request,10.328300953036612
SUP-000364,CUST-0129,2023-11-01,Onboarding,30.21785066430929
SUP-000663,CUST-0223,2024-01-12,Onboarding,38.05938702896165
SUP-000428,CUST-0151,2023-09-16,Onboarding,25.201225952396893
SUP-000338,CUST-0118,2023-06-12,Bug,10.190595798333684
SUP-000932,CUST-0313,2024-05-27,Bug,16.31364484072972
SUP-000246,CUST-0087,2024-01-24,Bug,23.963047021716363
SUP-000412,CUST-0146,2024-06-19,Feature Request,12.00324020935398
SUP-000285,CUST-0099,2023-06-20,Billing,20.031579352194868
SUP-000048,CUST-0015,2023-07-14,Onboarding,12.719367326737391
SUP-000633,CUST-0212,2023-07-18,Onboarding,28.43272669155283
SUP-000222,CUST-0076,2024-02-01,Bug,25.014105368100324
SUP-000036,CUST-0013,2023-09-29,Onboarding,1.456170840815859
SUP-000119,CUST-0038,2023-12-14,Bug,0.5
SUP-000578,CUST-0195,2024-01-25,Onboarding,6.097799570145024
SUP-000712,CUST-0243,2024-05-29,Billing,12.373055562651123
SUP-000411,CUST-0146,2023-09-14,Billing,8.773749555711266
SUP-001074,CUST-0362,2024-01-06,Onboarding,10.306053178480264
SUP-000571,CUST-0193,2024-06-26,Bug,9.964471602623831
SUP-000568,CUST-0191,2023-09-10,Onboarding,6.0930351589887755
SUP-001090,CUST-0367,2023-06-27,Feature Request,7.885402727786882
SUP-000797,CUST-0270,2023-06-06,Bug,1.3557624689254286
SUP-000565,CUST-0191,2024-06-05,Onboarding,5.548114803692776
SUP-001155,CUST-0389,2023-12-03,Onboarding,7.23651655593094
SUP-000421,CUST-0150,2023-12-13,Billing,5.646371516690035
SUP-000807,CUST-0272,2023-07-12,Billing,3.2975925742871266
SUP-000566,CUST-0191,2023-11-03,Onboarding,5.112298721455681
SUP-001051,CUST-0356,2024-06-27,Feature Request,12.02270746710391
SUP-000789,CUST-0267,2024-01-31,Feature Request,0.5
SUP-000658,CUST-0221,2024-05-28,Feature Request,9.99046139783526
SUP-000283,CUST-0099,2024-03-14,Feature Request,9.256967510276892
SUP-000305,CUST-0106,2024-03-28,Feature Request,4.09507260108114
SUP-000911,CUST-0302,2024-03-17,Billing,13.755464713758776
SUP-000207,CUST-0070,2023-09-18,Billing,10.971990458743088
SUP-000309,CUST-0106,2024-04-29,Onboarding,1.310363549140794
SUP-000533,CUST-0184,2023-09-19,Bug,17.189512769225473
SUP-001130,CUST-0377,2024-06-12,Feature Request,0.5
SUP-000934,CUST-0314,2024-01-14,Onboarding,0.5
SUP-000514,CUST-0179,2023-06-14,Onboarding,16.369790617459973
SUP-000894,CUST-0296,2023-06-19,Billing,7.109256182951959
SUP-000090,CUST-0029,2023-11-05,Billing,12.390709298015203
SUP-000236,CUST-0082,2023-07-08,Feature Request,13.861285637223421
SUP-000876,CUST-0289,2023-07-13,Feature Request,13.419109252689774
SUP-000306,CUST-0106,2024-04-15,Billing,10.907736089375703
SUP-000601,CUST-0203,2024-04-20,Billing,16.044459256660346
SUP-000528,CUST-0182,2024-04-27,Billing,26.953796571517607
SUP-000245,CUST-0086,2024-01-28,Onboarding,19.10533937407776
SUP-000625,CUST-0209,2023-08-07,Bug,18.059310170471697
SUP-000367,CUST-0130,2024-02-07,Feature Request,26.62803697896014
SUP-000335,CUST-0118,2024-04-24,Onboarding,11.633409440903499
SUP-000284,CUST-0099,2024-01-05,Bug,22.662190470407186
SUP-001049,CUST-0355,2023-11-01,Feature Request,
SUP-000228,CUST-0077,2024-06-03,Billing,17.80039506822799
SUP-000976,CUST-0327,2024-04-17,Feature Request,4.564986164170209
SUP-000946,CUST-0317,2023-12-17,Billing,0.5
SUP-000669,CUST-0225,2024-04-15,Feature Request,6.872827591003675
SUP-000560,CUST-0190,2023-08-04,Billing,12.098989486524243
SUP-000660,CUST-0221,2023-09-17,Onboarding,8.082187946343279
SUP-000320,CUST-0110,2023-07-01,Bug,0.5
SUP-000784,CUST-0266,2023-12-02,Billing,3.7106541796922787
SUP-000113,CUST-0037,2023-08-23,Feature Request,12.758484970026581
SUP-000512,CUST-0178,2023-11-06,Billing,
SUP-001056,CUST-0357,2024-04-10,Onboarding,13.549937459785985
SUP-000510,CUST-0178,2023-08-20,Bug,23.245376843520017
SUP-000074,CUST-0023,2023-10-17,Bug,28.769687040645806
SUP-000429,CUST-0152,2024-04-30,Billing,0.5
SUP-000129,CUST-0044,2023-08-18,Billing,20.496210077382294
SUP-000996,CUST-0333,2023-07-13,Feature Request,17.593696178185898
SUP-000219,CUST-0074,2023-09-20,Billing,16.644608969052538
SUP-000150,CUST-0051,2024-04-17,Onboarding,14.587603417121935
SUP-000524,CUST-0181,2024-01-17,Feature Request,15.401504603969391
SUP-000525,CUST-0182,2023-10-15,Onboarding,28.657860457761785
SUP-000677,CUST-0228,2024-06-16,Billing,3.3206067276106666
SUP-000188,CUST-0066,2023-09-26,Billing,15.596822496454076
SUP-000547,CUST-0187,2023-10-06,Billing,16.19935975916606
SUP-000580,CUST-0195,2024-02-21,Feature Request,7.9566456204549985
SUP-000503,CUST-0176,2024-02-23,Onboarding,5.943789283045587
SUP-000032,CUST-0011,2024-01-24,Feature Request,13.940456025868302
SUP-001122,CUST-0374,2024-06-25,Feature Request,5.9675940869726745
SUP-000003,CUST-0001,2024-06-17,Onboarding,34.18219893056411
SUP-000041,CUST-0014,2023-09-25,Feature Request,19.602015220222174
SUP-000091,CUST-0029,2024-04-21,Billing,24.098194222355566
SUP-001059,CUST-0359,2024-04-01,Feature Request,22.14504104489387
SUP-000046,CUST-0015,2024-02-10,Feature Request,16.14393650700143
SUP-000167,CUST-0058,2024-04-01,Bug,0.5
SUP-000884,CUST-0294,2023-12-02,Bug,7.534696140214988
SUP-000401,CUST-0143,2023-12-06,Billing,0.5
SUP-000501,CUST-0176,2023-06-22,Billing,6.898034197074483
SUP-000081,CUST-0027,2023-10-04,Bug,15.354875530687607
SUP-000422,CUST-0150,2023-08-11,Billing,8.962800748440504
SUP-000733,CUST-0247,2024-03-10,Bug,8.719196349188937
SUP-000233,CUST-0079,2023-07-29,Onboarding,18.64617728451159
SUP-000602,CUST-0204,2023-11-09,Onboarding,33.312716138962784
SUP-000230,CUST-0079,2024-03-15,Bug,21.756659957410996
SUP-001128,CUST-0377,2023-10-21,Billing,
SUP-000043,CUST-0014,2023-09-04,Billing,16.381483472625426
SUP-000270,CUST-0096,2023-10-03,Feature Request,40.77211273166653
SUP-001110,CUST-0372,2023-08-21,Onboarding,0.5
SUP-000404,CUST-0144,2023-12-07,Onboarding,15.833860080135711
SUP-000345,CUST-0121,2023-12-13,Feature Request,15.43354977117437
SUP-001145,CUST-0387,2024-03-19,Feature Request,35.57695098822255
SUP-000564,CUST-0191,2024-06-02,Billing,8.178330912688637
SUP-000878,CUST-0289,2024-04-15,Feature Request,13.842723368873797
SUP-000706,CUST-0239,2024-04-27,Bug,1.216094426283862
