record_id,account_id,log_date,logins_per_week,feature_usage_score
USA-003640,CUST-0300,2024-06-08,4.464059921008679,4.57002832890406
USA-000514,CUST-0042,2024-05-29,3.5377142054741135,3.1362859507487415
USA-001754,CUST-0149,2023-07-11,2.248190412296912,3.5112450630751857
USA-002709,CUST-0224,2024-05-11,6.270526195427641,5.790308846244567
USA-003486,CUST-0287,2023-11-18,5.083451024028292,5.5198102106886076
USA-002337,CUST-0194,2023-08-05,3.247068660571471,4.384330303943724
USA-003653,CUST-0301,2023-08-18,7.896080937624851,7.173804978561129
USA-004396,CUST-0363,2024-03-10,3.216862464917833,5.193916190759142
USA-002665,CUST-0221,2023-08-16,6.997599578691319,5.263312869215682
USA-001032,CUST-0088,2023-07-12,2.239848657309202,2.239431526034898
USA-004464,CUST-0370,2023-10-26,3.162081716983168,2.7780564428817383
USA-004475,CUST-0371,2024-04-26,1.5435000225746,2.9255154480478307
USA-004338,CUST-0358,2023-06-15,4.638694513280491,4.200051177496791
USA-002409,CUST-0199,2023-12-16,6.417538874971056,3.853849899391941
USA-003920,CUST-0322,2024-06-15,9.088140161301366,7.706856978820788
USA-003682,CUST-0304,2023-11-11,6.334896247832865,3.6567813488721557
USA-004639,CUST-0387,2024-05-17,4.572847675448088,3.7034088876532225
USA-003426,CUST-0283,2024-01-26,8.443680851993722,7.617568711266702
USA-001029,CUST-0088,2024-02-11,3.9960013442717686,3.1611669061768595
USA-001254,CUST-0107,2023-10-06,9.191896357037823,6.192961102692996
USA-001256,CUST-0107,2024-01-01,8.376944900914758,3.9298998777570753
USA-001807,CUST-0152,2024-06-01,7.804809936565559,5.309774798014402
USA-003231,CUST-0267,2024-03-07,2.473045214885356,1.5360298616626331
USA-004593,CUST-0383,2024-05-22,12.519025945463454,7.484944074791652
USA-002263,CUST-0189,2024-04-21,2.8911668518565423,4.568221891639281
USA-001575,CUST-0136,2023-06-02,3.39339518159459,2.6532543657890795
USA-002204,CUST-0184,2024-05-11,10.89705069795362,5.093396601315549
USA-004147,CUST-0342,2023-09-13,6.779447711439308,7.252648852227923
USA-002694,CUST-0223,2023-08-29,4.743590573971301,4.809101253756358
USA-003371,CUST-0278,2023-08-27,6.5627946430556765,7.737647217829327
USA-003261,CUST-0269,2023-07-26,3.927106721314627,7.235363507238207
USA-000311,CUST-0025,2024-04-27,6.624419781929355,4.212978621708471
USA-002063,CUST-0173,2024-03-06,4.1205394150614145,5.296466970964145
USA-001922,CUST-0161,2023-11-08,8.32708128188774,6.572194133693074
USA-001265,CUST-0107,2023-06-11,7.401503383516957,5.456350485593028
USA-002730,CUST-0226,2024-05-27,8.569551029852672,5.983560045993833
USA-001172,CUST-0100,2024-06-30,5.13834162506552,3.398737078421629
USA-003039,CUST-0252,2023-07-12,8.19710397917242,6.740120017661643
USA-004519,CUST-0377,2024-01-28,8.628787229749758,6.959676874661537
USA-004116,CUST-0340,2024-03-19,9.563951340345294,5.128049325475298
USA-003449,CUST-0285,2023-10-19,7.4395713552155645,5.814753837042098
USA-001356,CUST-0115,2024-02-02,8.377181238928225,5.287668450309194
USA-000861,CUST-0071,2024-01-29,6.916482582649454,4.072641909745425
USA-002968,CUST-0247,2023-06-30,4.156198901524432,5.692780426179544
USA-002518,CUST-0208,2023-10-10,6.932187543586429,5.354198650921858
USA-000248,CUST-0021,2023-07-09,7.103971987325491,6.521524777781006
USA-001344,CUST-0113,2024-06-15,5.94314516892342,8.241586986871122
USA-002771,CUST-0229,2023-10-08,9.719437773858818,6.659639800091833
USA-002041,CUST-0171,2023-06-30,7.81964094777438,5.648905077037691
USA-002351,CUST-0195,2023-12-11,3.7938965488095127,5.133903580917551
USA-001054,CUST-0090,2023-12-07,8.981782235725422,6.777833372454687
USA-002412,CUST-0200,2023-11-02,5.067503366543137,4.3701676883343294
USA-004674,CUST-0389,2024-05-21,4.628181138928152,5.125766516653103
USA-003355,CUST-0276,2024-05-08,5.596815570095339,6.029332671477919
USA-002705,CUST-0224,2023-10-16,6.61150005883583,6.053609062401591
USA-001999,CUST-0168,2023-07-09,3.6049319844630245,4.195069672443324
USA-000303,CUST-0024,2023-07-04,2.0401531705719957,2.5316014127935875
USA-004444,CUST-0368,2024-02-23,4.747990168566586,6.258197362095875
USA-004096,CUST-0339,2024-05-17,10.142926377797286,7.273224025503827
USA-002140,CUST-0179,2023-09-30,4.715673040914217,3.7223087648617943
USA-002491,CUST-0206,2024-01-26,3.7631384962486347,5.921035657438955
USA-003898,CUST-0321,2023-08-03,8.48455870181418,6.363201986790662
USA-001639,CUST-0141,2024-01-06,3.026586983295167,1.903808721822072
USA-004023,CUST-0331,2023-10-26,10.299166175647493,6.591116678372577
USA-000513,CUST-0042,2024-06-11,1.555016838864133,2.9928075854707417
USA-004487,CUST-0373,2023-09-12,5.090508146949752,2.8904783343342872
USA-004336,CUST-0358,2023-09-09,4.911769283064274,6.178405023212528
USA-004324,CUST-0357,2023-06-24,9.360786750155375,5.408372226254789
USA-001992,CUST-0168,2024-06-23,6.50020265018243,4.162828357370745
USA-004579,CUST-0382,2024-04-30,14.581932575253731,7.567623767674523
USA-002498,CUST-0207,2023-11-27,9.014446098201404,5.049033868690433
USA-002753,CUST-0227,2024-04-14,2.2387624290401407,5.225219596137941
USA-000152,CUST-0014,2023-12-13,4.825154629141666,5.443941678719327
USA-002084,CUST-0174,2024-03-15,4.055896129708039,5.932017081170615
USA-003005,CUST-0250,2023-10-24,3.422676998908038,4.441545133634768
USA-003863,CUST-0319,2023-06-15,8.266820541791386,5.443146558783732
USA-001234,CUST-0105,2024-02-24,8.563114081941817,7.507904812258671
USA-000301,CUST-0024,2024-04-04,1.7882609433144687,3.229596576726921
USA-003556,CUST-0293,2024-02-12,6.491200880100992,6.017423914374778
USA-000192,CUST-0017,2023-11-22,10.957898205785705,5.916197031511283
USA-004571,CUST-0382,2024-06-02,10.745703950671178,7.626865690780193
USA-001053,CUST-0090,2024-05-06,9.536989662330711,6.552727662588154
USA-001136,CUST-0097,2023-12-17,4.291391046955845,0.5032827719876103
USA-000114,CUST-0011,2024-06-29,9.369225925574154,4.64039889244827
USA-001443,CUST-0124,2024-04-15,8.693321172774466,6.515291820305628
USA-000957,CUST-0081,2024-06-27,7.575703744870378,6.581952874730291
USA-000647,CUST-0052,2023-08-12,8.692433349247871,6.646031772698205
USA-004668,CUST-0389,2023-10-05,7.285215173253493,5.209648263031308
USA-000230,CUST-0019,2024-03-10,5.765990862121782,4.70820858885668
USA-002308,CUST-0192,2023-06-13,5.174116397766899,3.8828588560307313
USA-000752,CUST-0060,2024-03-26,8.738476806847576,4.9290353073591096
USA-003820,CUST-0315,2024-05-25,7.137303703645978,5.2007985687300025
USA-001434,CUST-0122,2023-12-30,4.112213304721962,4.775001951355931
USA-002236,CUST-0186,2024-01-31,5.213293840258954,5.357913918089887
USA-001753,CUST-0149,2023-10-30,0.0,2.750903174987432
USA-000172,CUST-0016,2023-09-10,9.353625635672664,5.830271381149235
USA-000872,CUST-0073,2024-01-21,7.985939110889771,4.972368912265203
USA-001624,CUST-0140,2024-03-20,4.6172959118536525,3.4076430577793593
USA-004524,CUST-0377,2023-10-18,11.861374687577396,7.662904206643865
USA-002383,CUST-0197,2023-09-12,8.802880209011724,7.025319617818049
USA-003932,CUST-0324,2024-02-13,4.097274306153592,7.564374184568637
USA-001332,CUST-0113,2023-08-25,7.732088685273589,6.445363509221536
USA-002702,CUST-0224,2023-08-17,8.227484184054054,6.708794975790496
USA-002826,CUST-0234,2024-06-16,2.957229615923855,2.7265227012004445
USA-002188,CUST-0182,2024-06-18,4.537902212820834,4.028975481204484
USA-004568,CUST-0382,2023-10-04,11.915269953572945,7.970365227655622
USA-002280,CUST-0190,2023-09-19,11.303528935082614,6.189247296178748
USA-002347,CUST-0195,2023-06-27,6.334182844359838,3.277543126079343
USA-000404,CUST-0033,2024-05-31,9.223248727676442,4.139672690580834
USA-003890,CUST-0321,2023-08-06,9.830033482605618,7.426462458604548
USA-000287,CUST-0023,2023-07-20,4.751902042639417,4.7619375430339295
USA-000961,CUST-0082,2024-02-16,4.389537555114556,5.517808496864255
USA-000271,CUST-0022,2023-12-30,7.578167411524774,6.0405188119420075
USA-004364,CUST-0361,2023-12-17,6.242966879302008,5.65068460194666
USA-004659,CUST-0388,2023-06-16,5.401604103708166,3.8153803775452593
USA-001761,CUST-0149,2023-11-11,5.724925249938922,2.842853265101506
USA-000223,CUST-0019,2023-07-21,6.604397936907233,5.110903970635912
USA-002580,CUST-0212,2023-12-26,0.019826005628957866,3.1687894165318213
USA-000621,CUST-0050,2023-06-16,10.746133120212717,6.129856398753275
USA-001633,CUST-0141,2024-04-26,7.481788742863484,5.149598134552971
USA-001139,CUST-0097,2023-10-27,3.0923696253167248,4.205949567297144
USA-002233,CUST-0186,2024-02-08,4.134284931898029,3.9033594338329847
USA-003043,CUST-0252,2024-03-26,10.196842725484657,6.69070589398531
USA-003710,CUST-0306,2023-12-01,6.034258397962672,3.3214427914534257
USA-001809,CUST-0152,2024-01-23,7.283286586714932,4.084959747267648
USA-000380,CUST-0031,2023-06-29,6.566318820421031,5.220014053554341
USA-003050,CUST-0253,2023-07-24,5.028556856721714,4.944482962230117
USA-001052,CUST-0090,2024-05-18,8.375295439883258,6.811714353771477
USA-001515,CUST-0131,2023-07-17,2.627535545713864,4.600452494969063
USA-003864,CUST-0319,2023-10-24,5.322468837614877,4.445005685640858
USA-003285,CUST-0270,2023-07-26,4.0637547668353715,3.7402464719251634
USA-000717,CUST-0058,2023-12-30,6.423244019391396,4.946702683888379
USA-003644,CUST-0301,2024-06-25,9.22490618617923,4.714089426767652
USA-004303,CUST-0355,2023-06-13,4.766041911959171,3.9859150210082834
USA-000418,CUST-0034,2024-05-22,9.644323755454346,6.43533838620757
USA-003149,CUST-0261,2023-08-06,11.747072131737792,7.18564955891628
USA-003726,CUST-0308,2024-06-21,7.67805867533153,3.1789245184772694
USA-001082,CUST-0092,2023-11-28,15.484580839793107,7.206797619016137
USA-000787,CUST-0064,2023-06-30,5.22279800896206,3.8280951589251346
USA-000096,CUST-0009,2023-06-30,3.686183062091174,4.072784750869017
USA-004454,CUST-0369,2023-10-22,7.144425835471793,5.62577239453653
USA-000934,CUST-0079,2023-08-14,8.188233955738495,5.703447110183481
USA-003669,CUST-0302,2023-12-15,2.653997935440202,3.415249437866285
USA-000120,CUST-0011,2023-09-14,10.066404599210557,7.2523839711428035
USA-002799,CUST-0232,2023-11-01,5.905217296400261,5.813240883436039
USA-000400,CUST-0032,2023-10-09,4.488229656502034,5.118689325064169
USA-002800,CUST-0232,2024-03-22,9.09090465831991,4.741519222760109
USA-001603,CUST-0138,2024-04-01,7.3159131052642,6.033982479902884
USA-000142,CUST-0013,2024-06-11,4.553032576180624,6.206637764028898
USA-001935,CUST-0162,2023-07-18,6.560570891865247,6.245953195101346
USA-002229,CUST-0186,2023-06-12,3.123028747259152,4.000475287480337
USA-003704,CUST-0305,2023-08-27,0.03785996473690956,2.3743129238652183
USA-004103,CUST-0339,2023-10-17,8.802233829733595,5.2906207473999975
USA-000399,CUST-0032,2024-06-04,3.453131693989172,3.656370717892515
USA-004262,CUST-0351,2024-01-31,5.474380053728379,6.116585441051755
USA-002604,CUST-0215,2023-12-29,6.178314235843017,3.815820020564394
USA-000754,CUST-0061,2023-06-21,6.314506946164169,5.879727510042187
USA-004256,CUST-0350,2023-12-14,4.198856185684464,5.267293468256555
USA-004647,CUST-0387,2023-11-12,1.438528627992261,3.9747443749646427
USA-004124,CUST-0340,2023-08-17,8.539147098110776,4.786990637368547
USA-002276,CUST-0189,2023-10-20,5.480883817019347,2.8960530079786357
USA-000491,CUST-0040,2023-11-17,6.090201752577894,5.894644735315124
USA-004456,CUST-0369,2023-12-13,9.985495699642478,6.0396626058116745
USA-001371,CUST-0116,2024-06-13,5.567417705524382,3.390054891536155
USA-002743,CUST-0227,2024-05-15,5.150628175875974,1.150499423052111
USA-004566,CUST-0381,2023-07-22,11.357288127941088,5.241200347903228
USA-004284,CUST-0353,2023-09-11,8.820231908655028,5.669833082989413
USA-002278,CUST-0189,2024-02-11,1.9925388968862037,3.0345775480502564
USA-001923,CUST-0161,2023-06-25,10.019564736774681,5.497563443138937
USA-000921,CUST-0078,2023-09-17,4.554653782507648,4.13399014128438
USA-002116,CUST-0177,2023-12-12,7.577607969877265,5.7829999611605585
USA-000521,CUST-0042,2023-06-15,3.5252916799356453,2.58937257604192
USA-000105,CUST-0010,2024-02-01,2.065770288547077,3.980505948569978
USA-003497,CUST-0288,2023-12-24,3.336566322449294,2.510828548839931
USA-004436,CUST-0367,2024-03-25,6.887222877637791,6.027859382266359
USA-002414,CUST-0200,2023-12-26,1.612086426634276,5.582128187806347
